User,Reter,Comment,Votes,Time
@漠雨暧2HU婷,,哇，中国军团是集体爆发了吗？这么厉害！,171,2019-09-30 09:17
@单手吊打杨小怂,,全世界最美的女人,95,2019-09-30 08:34
@狐狸的磨刀侍卫,,棒,32,2019-09-30 08:32
@淡蓝色的梦境,,,0,2019-09-30 13:07
@风铃儿学乐11316,,,0,2019-09-30 12:33
@快乐小奥胖,,好,0,2019-09-30 10:38
@达芬不出奇,,太棒了,0,2019-09-30 09:59
@X_Leocardia,,太棒了吧！优秀！,0,2019-09-30 09:31
@吧唧了夢,,,0,2019-09-30 09:31
@凯凯王的谆谆,,,1,2019-09-30 09:25
@小罗小果小可,,真厉害,1,2019-09-30 09:03
@卡口圭伊張,,献给祖国最好的生日礼物,0,2019-10-01 06:28
@瘦人老张,,中国加油！,0,2019-10-01 04:49
@关中一楞娃,,祝贺！,0,2019-09-30 13:34
@sxt1996,,棒！生而为中国人自豪！,0,2019-09-30 12:40
@Vicky玉吖的小窝,,哇，切阳什姐和刘虹真的太不容易了,0,2019-09-30 11:18
@小初伊0131,,中国女军团今年无敌了,0,2019-09-30 11:10
@PARKYEONHEE,,三面五星红旗，太给力了！,0,2019-09-30 10:44
@李晨励,,除了男篮没劲，看其他的都有劲,0,2019-09-30 10:38
@这样不合适啊,,中国女子项目都好厉害！,0,2019-09-30 10:28
@pp焦1986,,年纪大了，我一看这种新闻都快哭了,0,2019-09-30 10:21
@梦里笙歌起,,太美了！,0,2019-09-30 10:18
@岛1213,,,0,2019-09-30 10:14
@这是你的卡布奇喏,,热泪盈眶,0,2019-09-30 10:09
@思想钢印爱好者,,一人一面国旗，一家人就是要整整齐齐,0,2019-09-30 10:08
@BellaEstrella-_,,太棒了,0,2019-09-30 10:08
@猛兽陈lucky,,厉害,0,2019-09-30 09:59
@修炼中小悟空,,最美的中国“女团”，中国女排，中国女篮，中国女足！……女性也能撑起半边天！,0,2019-09-30 09:57
@春天在哪里256,,最靓丽的风景，NB,0,2019-09-30 09:50
@D小调de惆怅,,祖国70最好的礼物,0,2019-09-30 09:39
@浙江金柯,,祝福 #中国包揽女子20公里竞走前三#,0,2019-09-30 09:34
@贝壳真的很硬,,好棒 中国红,0,2019-09-30 09:34
@爱奔AKE,,感觉中国真是阴盛阳衰,0,2019-09-30 09:33
@玛丽莲梦林,,好样的 姑娘们,0,2019-09-30 09:32
@卓玛哦哦,,厉害,0,2019-09-30 09:23
@Lakashahabooma,,牛！,0,2019-09-30 09:23
@ty_hg,,为国争光,0,2019-09-30 09:22
@奶盖很甜哒,,,0,2019-09-30 09:14
@花的节奏,,这么牛！！！,0,2019-09-30 09:13
@华子ZORE,,,0,2019-09-30 09:11
@青青青青青菇凉,,我大中国真棒,0,2019-09-30 09:10
@谢霆锋什么时候开演唱会,,棒棒哒,0,2019-09-30 09:05
@兔兔与欢欢,,太强啦,0,2019-09-30 09:05
@跳_岸上的鱼,,,0,2019-09-30 09:04
@沙滩LY,,厉害厉害,0,2019-09-30 09:03
@sllove若只如初见,,中国菇凉最棒，为你们点赞,0,2019-09-30 09:03
@彬彬有语59,,给力！,0,2019-09-30 08:56
@嘉欣崽吖,,啊！真爽奖牌全部被我们包揽啦,0,2019-09-30 08:55
@福520r,,了不起,0,2019-09-30 08:55
@L观云,,一直梦想的腹肌。,1,2019-09-30 08:32
@Love-Jesse-Lingard,,真棒,0,2019-09-30 08:25
@不知所谓的弄影,,好棒,0,2019-10-01 09:16
@智忍谨行,,厉害厉害厉害，为祖国生日献礼。,0,2019-10-01 08:24
@王文龙53256,,，,0,2019-10-01 08:23
@歌者达达最棒,,了,0,2019-09-30 10:40
@回忆lll732016,,1,0,2019-09-30 10:37
@米西西粒,,中国女军团好好想想为啥最近表现都那么好,1,2019-09-30 10:12
@魑魅魍魉都不是事,,最近都是巾帼不让须眉(话说男儿当自强嘞？),0,2019-09-30 10:10
@等待YX1108,,哗，太厉害啦，真棒,0,2019-09-30 09:49
@我爱忠国,,#2019多哈田径世锦赛# #中国包揽女子20公里竞走前三# 中国红美虹很美，亚姐成绩也不斐，杨柳静静探花蕾，杨家宝玉别气馁。,0,2019-09-30 12:44
@470百事不可乐,,厉害了，但是我发现竞走这个项目的小姐姐都好瘦哦，是不是竞走可以减肥,0,2019-09-30 11:58
@李淼淼丶,,厉害了 中国女子军团,0,2019-09-30 10:42
@听诉花未眠,,hhsjsjsj,0,2019-09-30 10:38
@听诉花未眠,,hjhhshjdz,0,2019-09-30 10:38
@听诉花未眠,,jjjjn,0,2019-09-30 10:38
@李小鱼长大了,,献给祖国最好的生日礼物，谢谢你们,0,2019-09-30 10:37
@我的时光我的梦23305,,中国厉害，雄起,1,2019-09-30 10:08
@设计师吴丽丽,,为祖国献礼,0,2019-09-30 08:54
@vling77,,辛苦了，谢谢你们为国争光！,0,2019-10-01 10:29
@武千阳,,爱了爱了,0,2019-10-01 09:48
@不知所谓的弄影,,好棒,0,2019-10-01 09:16
@vling77,,辛苦了，谢谢你们为国争光！,0,2019-10-01 10:29
@武千阳,,爱了爱了,0,2019-10-01 09:48
@不知所谓的弄影,,好棒,0,2019-10-01 09:16
@智忍谨行,,厉害厉害厉害，为祖国生日献礼。,0,2019-10-01 08:24
@王文龙53256,,，,0,2019-10-01 08:23
