User,Reter,Comment,Votes,Time
User,Reter,Comment,Votes,Time
@樱桃子cherry阿,,不好意思，我真的是都没有看过演唱会 评论配图,36,2019-10-10 19:43
@自己的彩虹屁,,屏幕前看的演唱会算吗？我那幼稚的老弟和我在电视之前一起看一起嗨的 评论配图,6,2019-10-10 19:44
@猪猪佩琦嗯,,我还没有去看过演唱会，这可咋整啊,10,2019-10-10 19:51
@晴栀198812,,我还没去看过呢，不过想去看一场五月天的演唱会,6,2019-10-10 19:44
@我会忘了你慧华,,烟鬼组合我也超喜欢,4,2019-10-10 20:00
@edinburgh0蓝空,,TFBOYS,1,2019-10-10 23:52
@_小橙熊,,我要去JJ演唱会啊啊啊啊，票都抢不到,1,2019-10-10 23:34
@FluoXetine27,,super junior！！！！,0,2019-10-11 00:23
@鸭鸭兜里,,仔仔唱歌好听耶！！,0,2019-10-10 22:28
@梁姑娘小超人,,第一场看演唱会真的是激动死了，和闺蜜一起去的,1,2019-10-10 19:49
@长颈鹿和咪,,吴青峰,0,2019-10-11 10:05
@芒果大溪地,,毛仔唱歌好好听,0,2019-10-10 20:53
@3你是我的宝,,你男朋友真的好白呀！身为个女孩子真的是自愧不如,0,2019-10-10 19:53
@向琛c,,我只去过一次，就是五月天的，感觉现场氛围好好,0,2019-10-10 19:49
@22_energize_ZZR,,这个口红是几号色啊,0,2019-10-10 22:53
@陈晾晾,,我一直在等一个跟我去演唱会的人，可惜了，二十多年愣是没遇着 评论配图,0,2019-10-10 20:13
@冰陌影呀,,我只想弱弱的说一句，从小到大我还没有看过演唱会 评论配图,40,2019-10-10 19:43
@熙熙的肚肚,,我不记得了 因为我还没有看过演唱会 评论配图,20,2019-10-10 19:43
@喜欢酸奶的小阿姨,,实不相瞒，我好难一女的，我还没看过演唱会,6,2019-10-10 19:44
@让你快乐呀,,给你这么一说，我太惨了，都没看过演唱会 评论配图,3,2019-10-10 19:44
@认真搬砖的小猪,,草莓音乐节我也想去，但是一直还没人陪我去呢 评论配图,4,2019-10-10 19:55
@超级无敌小仙女佩琦,,希望我人生中第一次去看演唱会是跟我最爱的人 评论配图,3,2019-10-10 19:57
@5等一僞故人,,不是我吹，说出来你们都不信，我这么大都没看过演唱会,2,2019-10-10 19:46
@當风筝遇上风4,,这个真的不敢吹牛，我还是没有看过演唱会,2,2019-10-10 19:51
@小乖乖图图,,肯定记得呀，刚去就下雨了，这运气真的是没谁了 评论配图,1,2019-10-10 19:44
@一个小啊南啊,,记得的，第一场演唱会看的是我喜欢的爱豆的，超级开心,3,2019-10-10 19:48
@叽歪巫女,,至今为止还未看过演唱会,1,2019-10-10 23:37
@要想走赶紧滚别墨迹,,记得还能记得可是关键是也没看过演唱会呀,1,2019-10-10 19:49
@5什么,,太惨撩，我还在挣钱打算一个人去看演唱会呢 评论配图,2,2019-10-10 19:45
@我喜欢的你是蓝色的,,我王俊凯！！！！,0,2019-10-15 08:23
@小倍同学ooo_,,11.23陈粒洄游巡回演唱会天津站！,0,2019-10-13 23:12
@FluoXetine27,,winner！！！！,0,2019-10-11 00:23
@FluoXetine27,,华晨宇！！！！,0,2019-10-11 00:23
@二绒相当佛,,马上有了，是我妈,0,2019-10-10 21:02
@-眠空夜行人,,@KristA_C 嘻,0,2019-10-10 20:23
@云淡风轻V5-5871,,感觉现场真的是特别嗨啊，等我有机会一定要去看一场演唱会 评论配图,1,2019-10-10 19:51
@小宇的阿宙QAQ,,感觉好尴尬，我长这么大还没去看过演唱会,1,2019-10-10 19:46
@咕叽山的兔子小姐,,毛不易 华晨宇,0,2019-10-17 17:58
@安迪沃霍尔在喝可乐,,华晨宇啊啊啊！,0,2019-10-17 13:44
@爱生活爱添福宝的昍,,我也贼喜欢烟鬼啊啊啊！！！！！,0,2019-10-16 23:17
@想要快乐的少女杰,,还没去过 如果能去 我想看周杰伦林宥嘉薛之谦陈粒孙燕姿烟鬼断眉肖恩,0,2019-10-15 13:51
@江边鹿L_,,Bigbang,0,2019-10-15 09:37
@彻杀,,易烊千玺！,0,2019-10-12 23:26
@考上研就去植发际线,,许嵩啊，超想看嵩哥演唱会,0,2019-10-12 23:08
@对这个就是大号,,许嵩呜呜呜呜,0,2019-10-11 20:57
@柠檬万年非,,Troye Sivan,0,2019-10-11 20:57
@好好做人培养自信,,华晨宇 妈妈木 鹿晗,0,2019-10-11 00:40
@糯米红豆雪糕,,我的人生只有周五组合！,0,2019-10-10 22:13
@酸甜雷雷啊,,啊啊啊，烟鬼,0,2019-10-10 20:23
@Try热巴是我老婆ToLover,,,0,2019-10-10 20:17
@收藏宝贝56823,,忘了,0,2019-10-10 19:59
@我的命里缺你Y,,现场真的是太嗨了，好先去参加这种氛围，,0,2019-10-10 19:47
@CardiacLY,,我还没去过呢，很期待下一次去呀，感觉现场好棒,0,2019-10-10 19:47
@为了华晨宇去蹲点卖小杨生煎,,我妈，但是她没进场，就我一个人买票进场了，她在外面等我等了好几个小时,0,2019-10-10 19:46
@逝水年华终不还,,现场看演唱会真的不一样，非常的嗨皮的。,2,2019-10-10 19:44
@林峦峦,,没有，不记得，母胎单身下一个，好的不说了我去抹眼泪了 评论配图,0,2019-10-10 20:02
@烟雨若江南lyf,,没有去看过演唱会，更别说有人陪着了，有机会再看吧 评论配图,0,2019-10-10 19:52
@天边有只鹿,,有人一起去看演出将会真的是太好了，特别是你爱的人 评论配图,0,2019-10-10 19:49
@汐颜兮梦lyf,,从来没有看过演唱会的我，好忧伤啊，有机会要去看 评论配图,0,2019-10-10 19:49
@Roaeayean,,想去看，可是并没有人陪我去怎么办 评论配图,0,2019-10-10 19:47
@天边有只大然然,,可惜我现在还没有看过一场演唱会，希望未来我看演唱会的时候有一个人也在我身边 评论配图,0,2019-10-10 19:47
@小寿司卷Yue,,第一次有钱看演唱会 陪自己去的也是现在的爱人呢 评论配图,0,2019-10-10 19:45
@没什么不可以的,,太不容易了看演唱会，抢又抢不到，黄牛又太贵 评论配图,0,2019-10-10 19:45
@Brx小西瓜,,我能说我长这么大还没有去过演唱会吗？连音乐节都没去过,1,2019-10-10 19:43
@刘喻枍S,,三小只的，超爱,1,2019-10-11 00:44
@我真的比多肉更多肉,,我想看taylor jj 邓紫棋 五月天  的演唱会,1,2019-10-10 22:41
@锁定你啦,,如此优秀的毛容易，怎么可能会忍住不喜欢？,1,2019-10-10 19:54
@小玉儿是我宝贝,,毛容易真的是多才多艺，让人佩服得五体投地。,1,2019-10-10 19:53
@林翠华XR,,就是那么喜欢烟鬼啊，唱功真的是杠杠的好,1,2019-10-10 19:52
@红叶花花flower,,真羡慕你能够去看烟鬼演唱会，可惜我看不到,1,2019-10-10 19:50
@了乐叻嘞,,第一次陪我去看演唱会的人，还陪在我的身边，真的很幸福,1,2019-10-10 19:47
@芒果味的娟姐,,本宅女还没有去看过演唱会，不知道这是一种什么样的感受,1,2019-10-10 19:46
@向前前行不停步,,我也很喜欢烟鬼的歌，非常的有韵味。,1,2019-10-10 19:45
@脆皮泡芙1,,第一次去看演唱会是整个寝室的一起去的，真的很嗨皮,1,2019-10-10 19:45
@小樱桃生鱼片,,陪我看演唱会的人现在不在我身边了,1,2019-10-10 19:44
@yang家小孩儿,,在哪买票？,0,2019-12-06 11:03
@Hsuewen_卿,,好巧 我也在现场,0,2019-10-10 22:59
@我是我的930,,华晨宇的还挺想去的,0,2019-10-10 22:06
@Brx小西瓜,,我确实还没有看过一场演唱会，一直想去，但没有时间,0,2019-10-10 19:52
@叶向荣CH,,我也是想不起来自己第一次演唱会和谁去看的,1,2019-10-10 19:49
@小毛豆9,,田馥甄,0,2019-10-12 12:56
@夕彦页68,,这么棒的吗,0,2019-10-10 19:53
@翻滚小肥球-201408,,Excuse me?,0,2019-10-10 19:52
@甜a甜爱微笑21,,太太太太棒了,0,2019-10-10 19:49
@忍者小影-200612,,铁粉来报道,0,2019-10-10 19:49
@小脸盆子也,,李现哈哈哈哈,0,2019-10-13 08:42
@yang家小孩儿,,在哪买票？,0,2019-12-06 11:03
@咕叽山的兔子小姐,,毛不易 华晨宇,0,2019-10-17 17:58
@安迪沃霍尔在喝可乐,,华晨宇啊啊啊！,0,2019-10-17 13:44
@爱生活爱添福宝的昍,,我也贼喜欢烟鬼啊啊啊！！！！！,0,2019-10-16 23:17
@想要快乐的少女杰,,还没去过 如果能去 我想看周杰伦林宥嘉薛之谦陈粒孙燕姿烟鬼断眉肖恩,0,2019-10-15 13:51
@江边鹿L_,,Bigbang,0,2019-10-15 09:37
@我喜欢的你是蓝色的,,我王俊凯！！！！,0,2019-10-15 08:23
@小倍同学ooo_,,11.23陈粒洄游巡回演唱会天津站！,0,2019-10-13 23:12
@小脸盆子也,,李现哈哈哈哈,0,2019-10-13 08:42
@yang家小孩儿,,在哪买票？,0,2019-12-06 11:03
@咕叽山的兔子小姐,,毛不易 华晨宇,0,2019-10-17 17:58
@安迪沃霍尔在喝可乐,,华晨宇啊啊啊！,0,2019-10-17 13:44
@爱生活爱添福宝的昍,,我也贼喜欢烟鬼啊啊啊！！！！！,0,2019-10-16 23:17
@想要快乐的少女杰,,还没去过 如果能去 我想看周杰伦林宥嘉薛之谦陈粒孙燕姿烟鬼断眉肖恩,0,2019-10-15 13:51
@江边鹿L_,,Bigbang,0,2019-10-15 09:37
@我喜欢的你是蓝色的,,我王俊凯！！！！,0,2019-10-15 08:23
@小倍同学ooo_,,11.23陈粒洄游巡回演唱会天津站！,0,2019-10-13 23:12
@小脸盆子也,,李现哈哈哈哈,0,2019-10-13 08:42
@彻杀,,易烊千玺！,0,2019-10-12 23:26
