User,Reter,Comment,Votes,Time
@闽南探长,,转发微博,4,2019-09-08 10:36
@唐僧只开宝马,,泉州旅游贵？？？,4,2019-09-08 17:57
@-神神同学,,@WLWONGGG,4,2019-09-08 20:33
@oldhen,,这个不能说贵，而是游客在某城花费排行榜,3,2019-09-08 21:32
@張茗uM,,？？？我不信,3,2019-09-08 20:33
@晴空下的闪闪,,想去大理丽江,0,2019-09-10 10:41
@Jelani-Z,,政治成分太大。。。,1,2019-09-10 00:58
@萧家意,,qiong,0,2019-09-08 22:08
@鹰是空的眼,,泉州居然排上名了,6,2019-09-08 21:55
@五二九七八,,数据没有纳入时间，假设在泉州玩四天花了2000， 在厦门一天花了800，总消费额泉州高 。,2,2019-09-08 20:46
@精阳十三,,合肥业界良心,6,2019-09-08 20:37
@miao3106101681,,说贵，可旅游景点的门票不贵啊,0,2019-09-10 08:31
@晴空下的闪闪,,想去大理丽江,0,2019-09-10 10:41
@Jelani-Z,,政治成分太大。。。,1,2019-09-10 00:58
@萧家意,,qiong,0,2019-09-08 22:08
@鹰是空的眼,,泉州居然排上名了,6,2019-09-08 21:55
@oldhen,,这个不能说贵，而是游客在某城花费排行榜,3,2019-09-08 21:32
@五二九七八,,数据没有纳入时间，假设在泉州玩四天花了2000， 在厦门一天花了800，总消费额泉州高 。,2,2019-09-08 20:46
@-神神同学,,@WLWONGGG,4,2019-09-08 20:33
@張茗uM,,？？？我不信,3,2019-09-08 20:33
@晴空下的闪闪,,想去大理丽江,0,2019-09-10 10:41
@miao3106101681,,说贵，可旅游景点的门票不贵啊,0,2019-09-10 08:31
@Jelani-Z,,政治成分太大。。。,1,2019-09-10 00:58
@萧家意,,qiong,0,2019-09-08 22:08
@鹰是空的眼,,泉州居然排上名了,6,2019-09-08 21:55
@oldhen,,这个不能说贵，而是游客在某城花费排行榜,3,2019-09-08 21:32
@五二九七八,,数据没有纳入时间，假设在泉州玩四天花了2000， 在厦门一天花了800，总消费额泉州高 。,2,2019-09-08 20:46
@精阳十三,,合肥业界良心,6,2019-09-08 20:37
@-神神同学,,@WLWONGGG,4,2019-09-08 20:33
@張茗uM,,？？？我不信,3,2019-09-08 20:33
