User,Reter,Comment,Votes,Time
@竟然改了微博名,,期待肖战,740,2019-10-11 20:05
@夏无去,,期待肖战,443,2019-10-11 20:05
@想要海藻般的长发,,期待王一博肖战！！！冲！！,449,2019-10-11 20:10
@要矜持丫,,今天温柔的风归功于昨天的雨。谢谢昨天的肖战，一步步走到今天的我们面前，“大家好，我依然是肖战。”@X玖少年团肖战DAYTOY,368,2019-10-11 20:06
@放任·,,期待@X玖少年团肖战DAYTOY 评论配图,370,2019-10-11 20:06
@快乐地改个名字,,期待肖战 评论配图,330,2019-10-11 20:05
@85deYiBO,,王一博王一博王一博王一博王一博王一博王一博王一博,35,2019-10-11 20:06
@Sunshine七月呀,,风起风止！回忆盛夏！温柔以战,9,2019-10-11 20:20
@越狱的月亮,,期待肖战@X玖少年团肖战DAYTOY,7,2019-10-11 20:08
@乔木七七,,好像没有看到师姐。,15,2019-10-11 21:22
@泡沫花啤酒,,期待肖战王一博啊！！等你们,6,2019-10-11 20:07
@肖兔子的小狮子,,啊啊啊啊啊期待肖战王一博,5,2019-10-11 20:05
@_我把餅幹給你,,说实在的，活这么大第一次听说一个暑假的电视剧，靠见面会演唱会热度炒到现在？？到底演戏还是歌手？很喜欢陈情令很喜欢王一博肖战，但仅仅就陈情令被刷这么久所谓无关剧情制片等一些杂七杂八的东西而感到过了，真的别在搞些有的没的了，我相信wyb，xz不缺这点热度，感谢,11,2019-10-12 02:00
@林花经雨香犹在,,期待肖战！！冲鸭！！@X玖少年团肖战DAYTOY,3,2019-10-11 21:52
@羡羡627,,期待肖战@X玖少年团肖战DAYTOY,3,2019-10-11 21:40
@肖战王一博一起滑雪了吗,,期待肖战王一博  可惜了没有师姐,5,2019-10-11 21:17
@曾至怯,,期待肖战王一博！！！！,6,2019-10-11 20:08
@猫腻wine,,没有师姐？,5,2019-10-11 20:06
@请叫我亲爱的OK,,为什么又没师姐（宣璐）,7,2019-10-11 21:20
@-樱岛奶兔赞,,期待肖战@X玖少年团肖战DAYTOY 评论配图,2,2019-10-11 22:52
@一只快落的小跳蛙,,冒昧的问一句，朱星杰唱了哪首歌啊…,2,2019-10-11 22:26
@UFO维修,,说实话，不希望战战去,2,2019-10-11 22:06
@摄影-诗,,期待肖战@X玖少年团肖战DAYTOY 赞赞冲鸭！！！！！！冲鸭！,1,2019-10-11 22:41
@战哥哥的小迷妹1,,是肖战啊,1,2019-10-11 22:41
@格洛米66,,期待于斌,1,2019-10-13 18:20
@苏长越呀,,没有师姐？？？！！！,0,2019-10-31 18:05
@黄黎明xc0609,,怎么没有师姐？,0,2019-10-30 10:19
@蒲公英19901225,,还是没有师姐吗？？？？？？,0,2019-10-28 12:03
@酷盖NTNSLeo,,期待一博，可是没有票,0,2019-10-27 12:38
@本命甄姬很厉害哦,,高秋梓是什么鬼，想起她在创造101让战哥难堪就特别没好感，居然还要来陈情演唱会，无语 =_=,0,2019-10-26 19:43
@苏长越呀,,没有师姐？？？！！！,0,2019-10-31 18:05
@黄黎明xc0609,,怎么没有师姐？,0,2019-10-30 10:19
@蒲公英19901225,,还是没有师姐吗？？？？？？,0,2019-10-28 12:03
@酷盖NTNSLeo,,期待一博，可是没有票,0,2019-10-27 12:38
@本命甄姬很厉害哦,,高秋梓是什么鬼，想起她在创造101让战哥难堪就特别没好感，居然还要来陈情演唱会，无语 =_=,0,2019-10-26 19:43
