User,Reter,Comment,Votes,Time
@杨幂的娇妻,,我就比较肤浅了，好帅啊,792,2019-10-06 18:04
@神秘卷毛饭,,图片评论 评论配图,445,2019-10-06 18:08
@今天的晚安呢,,白龙真的好帅,288,2019-10-06 18:09
@想在周天出去,,人总会把自己的梦想藏在心底，平时不说出来，但当这个点被触动到的时候，就好像一扇门被撞开了，所有的阳光都进来了。,178,2019-10-06 18:07
@渣浪真是浪,,想知道阅兵完了能不能先回村相个亲。。我们村姑娘排队等着呢,156,2019-10-06 18:04
@释然丶我心依然,,我们看着都爽，更别提驾驶了，真的太向往了！,78,2019-10-06 18:04
@今日宝藏,,满脸洋溢着幸福的笑容,47,2019-10-06 21:35
@港味美衣喔,,好帅的小哥哥,35,2019-10-06 21:01
@Red_Unicorn1990,,终于用到这张图了,32,2019-10-06 18:07
@你2444,,子弹的速度，闪电侠的速度，超人的速度,20,2019-10-06 18:04
@晴川姐姐,,好帅,11,2019-10-06 18:06
@润之bot,,比演员帅，有实际经历的气质到底是不一样,16,2019-10-06 21:16
@轻罗小扇真凉快,,曾经满腹经纶的我如今也只会说666,15,2019-10-06 18:08
@尊声仙音,,真的好帅啊,14,2019-10-06 18:08
@River江波,,分配吗？,9,2019-10-06 18:04
@青青草原沸洋洋,,想开… 评论配图,11,2019-10-06 18:03
@chester1993,,啊啊啊啊我可以我可以,4,2019-10-06 18:08
@换缕阳光,,褶子都笑出来了，还是这么帅呢,8,2019-10-06 18:08
@沉迷磕农,,好帅,7,2019-10-06 18:03
@柠檬不加糖yx,,能不爽嘛！中国最强战机,7,2019-10-06 18:48
@一个人活成千军万马,,军人的气质，真的太有魅力了,4,2019-10-06 19:13
@xy初心不变,,实不相瞒我觉得白龙有点小帅,4,2019-10-06 18:04
@iBingo,,就像跟我领证的时候一样,1,2019-10-06 22:20
@小周什么时候成为我的男朋友,,我看着那些武器弹药的时候只觉得心安,1,2019-10-06 18:14
@Elisa18,,好帅,1,2019-10-06 18:14
@音乐精选榜,,我看着都很爽啊,1,2019-10-06 18:05
@搞bot,,这是随便体验的事儿吗？？？,2,2019-10-06 18:04
@chester1993,,看见他我有种颠鸾倒凤的想法,2,2019-10-06 18:09
@芝麻糊酱cc,,我就想象了一下他开歼20的样子 太帅了吧,1,2019-10-06 23:12
@暖暖的咸汤,,可是我记得两年前就说过人家有对象的呀，我来晚了，不知道还能不能被看到,2,2019-10-06 21:25
@提起猪妹的小裙摆,,好帅兵哥哥嫁我,1,2019-10-06 21:07
@小阿飞shi我,,最喜欢人民子弟兵，看着硬气 ，看的我也想驾驶，真是太向往了！ 评论配图,1,2019-10-06 20:32
@倦倚南风,,我敲好帅,2,2019-10-06 18:08
@杨仨尔DAYTOY,,很棒，很优秀,1,2019-10-06 18:05
@bliss水星,,好帅的小哥哥,1,2019-10-06 18:06
@纸月亮的围脖,,,1,2019-10-06 18:06
@昵称暂时没想好v,,太帅了,1,2019-10-06 18:06
@快乐不简答,,我是个俗人，太帅了吧!,2,2019-10-06 22:03
@王中王877433898,,扬眉吐气,1,2019-10-07 00:26
@默默曦儿,,怎么可以这么帅啊,1,2019-10-07 00:17
@YINMSH萌帅,,你是我的梦想,1,2019-10-06 22:25
@实在想不到取啥名,,白龙，觉得这个名字和天空好配啊。,1,2019-10-06 22:18
@小星的52赫兹,,小哥哥，我有一个朋友想知道你有没有女朋友,1,2019-10-06 20:55
@琐言碎语,,还有一点萌萌哒,1,2019-10-06 18:41
@LemonadeLily,,姨母笑看完,0,2019-10-06 22:42
@未见唯一,,他好帅啊，我粉了，能不能等我考上研究生，去找你,0,2019-10-06 22:42
@说好不喝,,沸腾啊！！！,0,2019-10-06 22:34
@i_swan-GalaxyKrisWu,,做自己想做的事情 梦想成真就是这种感觉吧！,0,2019-10-06 22:29
@娃娃forevergirl,,@荼笑笑的茶笑笑 小哥哥好帅啊~~你开歼20，我开你,0,2019-10-06 22:00
@旺仔牛奶糖糖TT,,@xxxPikachuu 这个好帅,0,2019-10-06 21:50
@魔卡少女宋,,@扑彤 说的好棒啊！！,0,2019-10-06 21:48
@再也没有像你这样的优秀青年,,白龙啊，你笑的过于开心了,0,2019-10-06 21:48
@浅眠玉湘竹,,,0,2019-10-06 21:46
@Gentlegirlll,,@AFish7 这……这是你失散多年的大哥吗,0,2019-10-06 21:35
@妖怪炖粉条,,小哥哥厉害啊 评论配图,0,2019-10-06 21:30
@这么可爱的小姑娘呀,,好帅啊！！,0,2019-10-06 21:12
@我对李现既谈情又言爱,,太帅了,0,2019-10-06 18:43
@jnjj2000,,阳光灿烂的小哥哥,0,2019-10-06 18:39
@特薇zzzle,,@somisomido 瞅瞅大白牙瞅瞅,0,2019-10-06 18:34
@魏无羡的天子xiao,,分配吗民民,0,2019-10-06 18:28
@白大白白大白白,,秒懂那种爽，在瑞士的雪山上，雪打在脸上，白茫茫的一片，释放自我，只想尖叫，太爽了。没人家的境界高，但懂那种爽,0,2019-10-06 18:27
@雅痞文青,,分配吗,0,2019-10-06 18:24
@我再也不玩鲁班了,,回想起叫它粽子机的那天，真的像做梦,0,2019-10-07 14:53
@永暧Fay,,国家给分配吗,0,2019-10-07 14:07
@忆梦幽怜,,我想嫁给你,0,2019-10-07 12:44
@酷着可爱,,下辈子要去开飞机,0,2019-10-07 09:34
@小张的糖葫芦,,我想坐在哥哥腿上看一看白云,0,2019-10-07 09:09
@硪嗳睨love雷,,,0,2019-10-07 08:19
@九六小叔叔叔,,我电视上看着都很激动，要是能去阅兵现场看可能就激动哭了,0,2019-10-07 08:14
@鄙人King兴008,,6,0,2019-10-07 07:33
@楦荀,,平凡的英雄，值得尊敬,0,2019-10-07 07:33
@淡墨淸嵐618,,文能治國，武能安邦；怎一個“帥”字了得,0,2019-10-07 07:29
@人见人爱的孙小美,,,0,2019-10-07 01:29
@水蜜桃儿飞飞,,好可爱,0,2019-10-07 01:04
@平靜sonnpypooh,,好棒,0,2019-10-07 01:03
@ICE171,,嗬嗬！！！,0,2019-10-07 00:46
@KEVIN_熋貓囝,,太爽了,0,2019-10-07 00:36
@大王Lemon,,飞行少年，太帅了,0,2019-10-06 23:58
@帅狗二弟他爹,,帅帅帅帅帅,0,2019-10-06 23:39
@天涯飘来一缕阳光,,图片评论 评论配图,0,2019-10-06 23:20
@顺绮紫冉,,唉！英年早婚,0,2019-10-06 23:00
@甜美系孟孟lh7,,这不是我蓝朋友吗？都散了都散了，我俩该回家了,0,2019-10-06 22:57
@翠翠的酒窝真好看,,真的好帅啊,0,2019-10-06 22:53
@只要香榭的落叶Jay,,我遇到喜欢的姑娘时也是这种感觉,0,2019-10-06 22:49
@matui,,看看,0,2019-10-06 22:47
@Slowlost,,可惜发动机不是我们造的,0,2019-10-06 22:45
@kelsmorningHigh,,这也太帅了妈的,0,2019-10-06 22:06
@给你点个小赞,,好帅,0,2019-10-06 22:03
@GG海底月是天上月,,好帅呀   要助手嘛？尝菜的那种,0,2019-10-06 22:03
@目溦,,一扇门被撞开，所有的阳光都进来了,0,2019-10-06 21:59
@夏燕Rong,,小哥哥笑起来真好看,0,2019-10-06 21:58
@要一直不断地往前走呀JY,,真的不挑，随便一个兵哥哥都行，啊啊啊啊啊啊啊，啥时候分一个,0,2019-10-06 21:57
@要是减肥成功就牛逼了,,你们说的我都不信，除非给我发一架我自己开。,0,2019-10-06 21:55
@大大君的迷妹,,不知道能不能等到分配的一天,0,2019-10-06 21:54
@毛女08241983,,你好帅啊。,0,2019-10-06 21:51
@寒天迷彩,,说到自己喜欢的事业，眼睛里都泛着光,0,2019-10-06 21:51
@紫苏76440,,（我还是理智点吧）优秀的哥哥，为你点赞,0,2019-10-06 21:48
@逆流而上yeah,,草！好帅！,0,2019-10-06 21:46
@G-X你信我啊,,哈哈哈哈哈哈哈哈哈 哥哥有女票的时候肯定会说超级棒的骚话,0,2019-10-06 21:43
@青柠呐-,,太帅了！,0,2019-10-06 21:43
@陈虞良,,好帅,0,2019-10-06 21:37
@Ronii-,,真的超级喜欢他，朱日和阅兵就关注了 评论配图,0,2019-10-06 21:36
