User,Reter,Comment,Votes,Time,Count
@晓斌晓斌朱晓斌,,@禾桃慧子呀,0,2019-10-01 17:38,4
@xxxxww2,,@人海里的路人- 好想去喝介个,0,2019-09-29 22:42,4
@宋懿珊,,北京三里屯都没有,0,2019-09-27 18:37,2User,Reter,Comment,Votes,Time,Count
@咖喱GetGei,,卷fa里揪2个sòng喜茶x养乐多随行杯 评论配图,812,2019-09-09 14:42,4
@咖喱GetGei,,这款要到9.11上！,250,2019-09-09 14:46,4
@LoveMeTender2019,,石榴抗氧化，养乐多助消化。,571,2019-09-09 15:24,2
@Carol是个芋圆酱,,我敲！不知道武汉喜茶有没有,242,2019-09-09 14:48,2
@陈可爱o3o,,哇！！这个瓶子！！！,151,2019-09-09 15:42,2
@Tina-TianY,,养乐多！赞哟。感觉还没上,64,2019-09-09 14:43,4
@阿青是甜甜的酒酿味er-,,哇太可爱了！锁了！我爱石榴,41,2019-09-09 15:47,2
@比婳婳婳婳少两个婳,,这个真好看呀！！！！！,6,2019-09-09 15:12,2
@fin茄酱,,我的妈呀，这个瓶子太好看了吧,17,2019-09-09 15:03,2
@卖桔者言hhh,,我不管！我下班就去喝！,6,2019-09-09 16:36,2
@胖琪吃货录,,上海有吗,2,2019-09-09 20:55,2
@馋嘴栗子酱,,哇！喜茶和养乐多联名了！！,2,2019-09-09 20:46,2
@到了一百斤再改名,,@陌芯__ 想喝 我酸了,1,2019-09-11 17:16,2
@24283686jpjag,,@itswsc 啊啊啊啊啊,1,2019-09-11 17:13,2
@今天我家哥哥回来了吗,,@蔷薇花开的雨迹,1,2019-09-10 19:43,2
@AlecBaby-,,@他请你喝奶茶,1,2019-09-10 18:16,2
@俗人小鑫,,@任小姗33 @李根LG,1,2019-09-10 14:40,2
@阿猪a_,,@小葛小葛我看还可,0,2019-09-09 21:46,2
@KeryFree,,@男孩臭臭说尼好,0,2019-09-09 15:45,2
@暖风过境还是你,,@千家小幺 约吗？,0,2019-09-09 14:55,2
@不闹会死星人,,转发微博,0,2019-09-15 22:46,4
@Kikikobaby,,@水biss,0,2019-09-20 22:54,2
@鲜芋青稞毒唯粉,,转发微博,0,2019-09-16 02:28,4
@小叶子yoga,,来咯,0,2019-09-15 14:31,2
@一池鱼er,,太可爱啦！//@咖喱GetGei:卷fa里揪2个sòng喜茶x养乐多随行杯 评论配图,0,2019-09-15 13:55,2
@是你的七颗栗子,,没买到杯子的我，努力一下吧,0,2019-09-15 12:35,2
@世悠啊,,唉去读了大学这边没有喜茶,0,2019-09-15 12:31,2
@鹿鹿鹿鹿小尤1021,,瓶子好可爱,0,2019-09-15 12:07,2
@看到我就快让我去写作业,,我i了,0,2019-09-15 10:58,2
@Dodo-哒,,转发微博,0,2019-09-14 17:12,2
@甜酒小牛奶,,我今天嚯了，但是没有那个杯子了，好嚯！ 查看图片,0,2019-09-13 19:09,2
@信浓川-,,@辣椒油油油 瓶子！！,0,2019-09-12 20:30,2
@想和你摘星兴,,OKOKOK,0,2019-09-12 15:13,2
@葡味柠檬_cyh,,果然万物皆可波波冰,0,2019-09-12 10:56,2
@斋藤叽叽喳喳,,@方dengD,0,2019-09-12 08:58,2
@咔叽麻辣烫,,好好看,0,2019-09-11 23:51,2
@人间漫步-,,哈哈哈哈哈哈哈我太喜欢这个杯了完全就是我的菜,0,2019-09-11 23:47,2
@随意不随意_,,好想喝喜茶[求關注],0,2019-09-11 23:32,2
@Tina-TianY,,我看成了在评论里抽奖,0,2019-09-11 23:26,4
@Markson的杰尼龟,,我要去买了,0,2019-09-11 22:16,2
@一点都不甜辣,,转发微博 查看图片,0,2019-09-11 22:14,2
@-阿芋,,i了@喜喜_X,0,2019-09-11 22:12,2
@lovelyskinnypiggy,,@你超哥是个杀手 ,0,2019-09-11 22:05,2
@min绵绵,,买！,0,2019-09-11 20:53,2
@逸昕一熠,,优秀的喜茶,0,2019-09-11 18:09,2
@XN-LU,,@夜猫小许_x,0,2019-09-11 18:03,2
@开门一看是杰大,,可爱,0,2019-09-11 18:03,2
@-奥黛丽赫红,,@和影子玩拳击的人_ 想喝,0,2019-09-11 17:19,2
@Jessica_Venu,,想尝尝～,0,2019-09-11 17:16,2
@上學威女,,转发微博,0,2019-09-11 17:13,2
@noyrhy3,,@_就不告诉你哩,0,2019-09-11 17:13,2
@甜甜小林要暴富,,喝它！！！,0,2019-09-11 13:39,2
@chanszeman,,走@小眼甜心大混蛋,0,2019-09-11 13:01,2
@吃吃Miss7Eat_有钱只嘬85号奶盖,,#不可辜负的美食# 冲着这个杯子也想拔草一波,0,2019-09-11 11:27,2
@beukarma,,我来了我来了,0,2019-09-11 11:25,2
@一只咕叽哇,,我！我！我！我！我！我！我！立马给自己安排上,0,2019-09-11 10:32,2
@西北之海,,@糯米旻旻yurn,0,2019-09-10 21:19,2
@漏气的泡芙,,@缺糖就丧,0,2019-09-10 14:04,2
@续航旅程,,@Rotate旋转o,0,2019-09-10 13:50,2
@再喝一瓶養樂多,,养乐多在这呢,0,2019-09-10 13:21,2
@噜噜鹿啊鹿,,这个好赞！！不过只有上海有嘛,0,2019-09-10 13:08,2
@于力航,,@HaroldAYL,0,2019-09-10 13:07,2
@想要吃不胖的靴宝宝,,#靴宝宝的安利# 靠！！喜茶和养乐多联名出波波冰了！！！,0,2019-09-10 13:00,2
@LukeGarbol,,911,0,2019-09-10 12:43,2
@哇是晶宝啊,,@冯蚊子今天吃什么呢 我要去上海,0,2019-09-10 11:57,2
@Cathy_Tse谢,,可爱！想要！[好喜歡],0,2019-09-10 11:17,2
@Jennifer駗,,安排上！,0,2019-09-10 07:10,2
@多肉皮皮,,杯子刚刚碎掉的我来了,0,2019-09-09 22:59,2
@Anayako,,可可爱爱,0,2019-09-09 22:54,2
@小宋zara,,@性原罪,0,2019-09-09 20:09,2
