User,Reter,Comment,Votes,Time
@为难过找面具_0403,,这是哪首歌？,6,2019-10-12 00:26
@胡榴明,,肖战演技没说的,16,2019-10-12 00:39
@Hipposissi,,这段演的的确好,6,2019-10-11 23:59
@苏含宝宝,,简直就是A爆了,4,2019-10-12 17:18
@贝爷是个小怪兽,,迄今为止真的是我最喜欢的一部电视剧了，,0,2019-10-13 23:50
@流年似水转眼之间,,这歌真不是一般的难听,0,2019-10-13 19:22
@是甜甜的冰摇红莓黑加仑呀,,太燃了,0,2019-10-13 13:51
@爱是鲍哈哈吖,,爱gg,0,2019-10-12 21:30
@今晚没有月色xz,,陪这首歌简直绝了,0,2019-10-12 18:12
@Aom_Tsao,,@想家的qianjie,0,2019-10-12 14:47
@Qimsen420,,想再刷一遍 ～,0,2019-10-12 13:48
@_朝暮星尘_,,陈粒的歌配上以后爆发出惊人的力量啊 简直太棒了 战战演技真的燃爆,0,2019-10-12 10:46
@易得者易逝,,演技好,0,2019-10-12 06:41
@玉落長安DLY,,在此恭迎夷陵老祖魏无羡！！！魏婴，回来吧……,0,2019-10-12 06:21
@夏至初晴2000,,帅,0,2019-10-12 05:36
@心平气和-------,,剪的好,0,2019-10-12 01:43
@一米阳光LiuQin,,那是必须的,0,2019-10-12 00:36
@仔仔Ruby93,,我的戰戰A爆了,0,2019-10-12 00:22
@小赞的迷妹DAYTOY,,A炸,0,2019-10-11 23:48
@四叶草_cat,,,0,2019-10-11 23:47
@伊呀啊啊啊啊啊啊,,太美了太帅了太好看了！！,0,2019-10-12 12:40
@唇诱58863,,肖战！,0,2019-10-12 05:42
@笑---73352,,太撩了,0,2019-10-12 04:59
@_李曼曼曼,,我爱@无二度一生,0,2019-10-14 07:33
@战哥安,,燃燃燃,0,2019-10-13 01:27
@夏令时追风,,@CHL_海玲 A爆了！,0,2019-10-12 09:42
@听说未来都是你thirty,,@朴先生的大可爱 ,0,2019-10-12 09:08
@一只AHA,,@你算什么酱 wok这个！！,0,2019-10-12 01:03
@浅予cx,,@好想有个能用的昵称,0,2019-10-12 00:10
@雪冰要靠谱,,求歌名,0,2019-10-12 00:04
@苏菲亚小公主的爸爸,,@winner人鱼公主 快看,0,2019-10-11 23:59
@_李曼曼曼,,我爱@无二度一生,0,2019-10-14 07:33
@玩儿的玩儿,,啊啊啊啊啊啊啊,0,2019-10-13 23:51
@_李曼曼曼,,我爱@无二度一生,0,2019-10-14 07:33
@玩儿的玩儿,,啊啊啊啊啊啊啊,0,2019-10-13 23:51
@贝爷是个小怪兽,,迄今为止真的是我最喜欢的一部电视剧了，,0,2019-10-13 23:50
@流年似水转眼之间,,这歌真不是一般的难听,0,2019-10-13 19:22
@是甜甜的冰摇红莓黑加仑呀,,太燃了,0,2019-10-13 13:51
@战哥安,,燃燃燃,0,2019-10-13 01:27
@爱是鲍哈哈吖,,爱gg,0,2019-10-12 21:30
