User,Reter,Comment,Votes,Time
@一只鸡腿子,,请大家领一下优惠券！！转评抓6个宝贝平分666元,110,2019-08-30 17:16
@一只鸡腿子,,@锦书白 @Mmm-jy1 @可尔必思真好喝鸭 @黄如树上莺 @是吴心啊 @Aimzzzzzz 揪你们6个宝贝啦！支付宝安排，平分666！,6,2019-09-06 15:56
@Ko_a_la,,敷而佳还赞助了小s的那个节目！！（第一次看到有赞助节目的医美品牌）,13,2019-08-30 21:09
@unique的猪,,超级爱敷尔佳,107,2019-08-30 17:01
@锦书白,,敷尔佳真的好用  我可能用过不下二十盒,93,2019-08-30 17:06
@锦书白,,恭喜腿子喜提敷尔佳爸爸！,66,2019-08-30 17:06
@Vinsuez,,敷尔佳用过的人真是没听过说不好的，安排！,60,2019-08-30 17:13
@喵咩咩ivy,,每次做完医美或者在家做完仪器，必敷敷尔佳,37,2019-08-30 17:10
@天然宅橘猫,,敷尔佳挺好用的，我也要用用试试啦,32,2019-08-30 17:14
@千KKKK,,棒！！！敷尔佳真的超好用！！！,15,2019-08-30 17:07
@面包树树树树树树,,好的很，用过，继续买了,16,2019-08-30 17:06
@润滑,,敷尔佳真的巨好用！,11,2019-08-30 17:04
@tanspain_,,来了来了,8,2019-08-30 17:03
@澄子_-,,敷尔佳真的好用！,7,2019-08-30 17:02
@桃桃酱安利星球,,,3,2019-08-30 17:09
@今天也要甜甜甜甜甜呀,,你有那个钱给自己补补脖子行吗 别抽奖了,5,2019-08-30 17:01
@爱王凯强和王国伟,,敷尔佳真的超级好用！,4,2019-08-30 17:01
@Ka1122tie,,我用过n多次敷尔佳了。因为我痘印啊痘痘啊！就很麻烦～加上他是医美品牌嘛让人放心！平时活动也没辣么u惠哈！鸡腿的券真的非常大，基本一盒80多～都不贵好吗！买两盒惹,2,2019-08-30 17:53
@倔强De萝卜姐,,哇真的，很好，马上安排,1,2019-08-30 17:21
@幻想家乔伊斯,,鸡腿说得对呀,3,2019-08-30 17:05
@月亮是特别的星星,,给鸡腿排面！！！,3,2019-08-30 17:03
@可尔必思真好喝鸭,,敷尔佳真的好用我的天 我上个学期用了一整个学期 少数也用了有个9 10盒了吧 现在手里还有两盒囤货 真的常备！！身边没有就不安心 已经拉我朋友一起入坑了哈哈哈哈 她用了一片觉得贼好一口气买了十盒背出国,1,2019-08-30 18:08
@Day_Jenny,,巨好用 真的 敷尔佳救了我的脸 你救了我的心,1,2019-08-30 17:31
@不要生气了呢,,鸡腿我爱你,1,2019-08-30 17:28
@此生必睡崔胜贤,,好像拥有你的同款美腿,1,2019-08-30 23:34
@高雅Ak,,之前听说过医美，好像很不错的样子，看起来得用一下了！,1,2019-08-30 18:43
@每天一口水,,敷尔佳用过的都说好,1,2019-08-30 18:36
@蓝天白云是你R,,女孩子就应该这样子的，也应该对自己更好一点。,1,2019-08-30 17:25
@此生必睡崔胜贤,,敷尔佳真的好用啊。,1,2019-08-30 17:22
@W歪唧唧歪W,,怎么有种微商小广告的意思,1,2019-08-30 17:05
@10米长泽雅美,,富贵一脸不情愿哈哈哈哈哈,1,2019-08-30 17:02
@Ayuan999_,,啊啊啊啊啊好前！爱你！！！！,1,2019-08-30 17:02
@10米长泽雅美,,我来了，要啾啾,1,2019-08-30 17:01
@用户不存在457667341,,,0,2019-09-18 00:09
@一大口77,,@eooooooeve,0,2019-09-03 17:53
@江津酒,,买,0,2019-09-03 14:11
@兔兔小祖宗,,你看你看  我真是个幸运儿 评论配图,0,2019-09-01 14:53
@兔兔小祖宗,,真的开心！客服忽然联系我说给我反差价 评论配图,0,2019-09-01 14:52
@赵亚楠呢,,鸡腿鸡腿,0,2019-08-31 09:29
@小狮子quq,,马一个！,0,2019-08-31 09:25
@Ka1122tie,,,0,2019-08-31 04:23
@今天也是不想早起的,,哦，看见了，我以为在评论,0,2019-08-30 19:01
@要努力咩-,,敷尔佳简直要一生推鸭,0,2019-08-30 18:46
@爱王凯强和王国伟,,嘻嘻嘻 评论配图,0,2019-08-30 18:32
@李荣川_,,我要吹爆敷尔佳，相信我，用了你就停不下来,0,2019-08-30 18:27
@林一只儿,,厉害啊！！居然得到了敷尔佳爸爸的青睐！,0,2019-08-30 18:27
@爱王凯强和王国伟,,敷尔佳真的是救命稻草！,0,2019-08-30 18:21
