User,Reter,Comment,Votes,Time,Count
@千玺的折扣卷,,不明白，为什么给予国家重点贡献的人们介绍表扬，下面都有人说风凉话，请问你为这个国家做了什么？？？,1183,2019-09-29 09:38,1
@小诺新爸爸,,我来科普一下，申纪兰年轻时推进男女同工同酬。想想也是奇了，在她年轻的那个时代，妇女就算完成和男人一样的农活，也只能拿男人80%的酬劳，全社会竟然对此毫无异议！放到今天谁能忍？社会进步就在这点滴间。,469,2019-09-29 10:01,1
@江苏神秘市民刘女士,,都是老人了 祝他们长命千岁,305,2019-09-29 09:25,3
@我是叮当_yingying,,抬轮椅的小哥也好辛苦啊，要保持轮椅平稳还要保持仪态.,252,2019-09-29 09:34,1
@农家娃子要进城,,国家功臣,133,2019-09-29 09:30,1
@尼奇窝窝,,其实这些可能并不是他们想要的，但国家要给，他们这一代人，牺牲的太多太多，是真正的牺牲和奉献！绝对的忠诚 评论配图,70,2019-09-29 09:25,5
@红泥小火炉2037,,每次看到这样的场景都会激动万分，我们这一代人会记得幸福来之不易，也希望我们的下一代，同样会记住这些为我们和平幸福生活做出巨大贡献的英雄们！,24,2019-09-29 09:29,1
@秋寒_Ashilin,,有些人，毕竟微博本科以上学历不到一成，体谅一下吧,24,2019-09-29 10:19,1
@花花念有钱呀,,致敬,20,2019-09-29 09:24,2
@李现ing小宝贝Lucy,,致敬，我爱我的祖国,19,2019-09-29 09:40,1
@体彩店大姐姐,,致敬,15,2019-09-29 09:27,2
@云端畅游,,,9,2019-09-29 09:31,1
@正义大实话,,抬也要这么仪式很别扭,15,2019-09-29 09:27,1
@桂月酒,,为什么 不把台阶改装出一溜坡道呢 这个太轮椅……戳中我的笑点了 对不起 希望这些老人健康长寿再长寿 多享受享受现在的好生活！,9,2019-09-29 09:33,1
@音乐精选榜,,愣着干嘛鼓掌啊,18,2019-09-29 09:24,4
@句号爱吃肉,,我想在那摇红旗，我不怕晒，我想去抬这些伟大的人的轮椅，我不怕辛苦。（我们保持崇敬之心看就行了，某些人杆什么杆呢）,6,2019-09-29 11:20,1
@日常运好,,：我爱中国，致敬功勋！,8,2019-09-29 09:24,6
@甜阿柠-,,好感动啊,5,2019-09-29 09:34,1
@咸蜜甜Irene,,哇，骄傲啊！但是蹲去抬的动作有点好笑，太庄严了,4,2019-09-29 10:09,1
@绿松石说,,致敬！,4,2019-09-29 09:25,1
@阳古慕尚,,荣光，荣光，无尽的荣光,4,2019-09-29 09:25,2
@想有一只小猴子呀,,致敬,2,2019-09-29 09:31,2
@内-----一份淡定,,致敬！！,2,2019-09-29 09:30,1
@北雁兮南飞,,这些为共和国作出巨大贡献的人民功勋们得奖当之无愧！致敬,4,2019-09-29 09:29,2
@渣男侦探所,,国家骄傲！致敬,1,2019-09-29 09:24,10
@Po主已被乙方逼死,,建议可以设置残障人士专用轮椅通道，推着英雄上去感觉会比抬着轮椅上去好一点,5,2019-09-29 10:20,1
@甜酥小尾巴,,致敬。。。我爱我的祖国，我为自己是中国人自豪。,2,2019-09-29 09:31,5
@Super曲江龙-Kimi,,我也想为他们抬轮椅,1,2019-09-29 12:24,1
@Wyatt----,,朋友来了有好酒，豺狼来了有棍棒,1,2019-09-29 11:55,1
@zrocen19,,为什么不能建个轮子通道呢？下蹲抬轮椅的样子好Q,1,2019-09-29 10:21,1
@不夜侯_Tea,,赞扬为国家做出贡献的人才应该成为社会主流，让那些伟大的人们知道，国家没有忘记，人民没有忘记。,1,2019-09-29 09:51,1
@曼联痞子,,为什么不弄个特殊通道呢,2,2019-09-29 09:44,1
@半生守候的海角,,致敬，正看直播,0,2019-09-29 09:34,2
@佳优宝贝,,致敬先辈！祖国万岁！,1,2019-09-29 09:33,1
