User,Reter,Comment,Votes,Time
@大雅可君,,真的解压吗，我看着觉得压力倍增。,16,2019-09-27 09:49
@狐狸想偷天上月,,不好玩 还不如植物大战僵尸,7,2019-09-27 09:34
@颜西西-,,这个热搜真尴尬 7个评论,9,2019-09-27 08:51
@我就是夜子吖,,这图我画过,3,2019-09-27 08:44
@点点小冯,,也太迷了,1,2019-09-27 08:08
@梦长君不知meng,,不能自己选颜色啊……,2,2019-09-27 09:17
@千歲緑和海藍,,不好玩,1,2019-09-27 11:09
@我超甜阿_,,不好玩,1,2019-09-27 09:59
@邦尼布鲁猪,,但是要控制我用什么颜色涂我就不舒服了,1,2019-09-27 08:52
@limumrin,,要是可以自己选择颜色就好了,1,2019-09-27 08:48
@咩羊咩咩儿,,哈哈哈哈好有意思,1,2019-09-27 08:10
@爱猫的M,,看视频就不大有兴趣,0,2019-09-27 13:59
@黄家萌子,,我还以为野画集呢，这热搜上的,0,2019-09-27 11:30
@可爱又迷人的反派角色L_L,,我画过,0,2019-09-27 11:20
@薄荷味的小阿耐,,减压怎么说呢…一想到要把这些全部涂完，突然觉得之前的压力根本不算什么,0,2019-09-27 11:15
@陈鲸落,,很喜欢，立马下一个,0,2019-09-27 11:02
@婞福尐新,,@王也道长的心头胖儿啊 适合你,0,2019-09-27 10:36
@今天又是三观不合的一天,,转发微博,0,2019-09-27 10:26
@小啊小阿云666,,有广告吧,0,2019-09-27 10:16
@摩羯夢尋,,玩的人太少了。刚好我是在玩的那个,0,2019-09-27 10:11
@旺旺大仙贝FAN,,还不如买纸质的直接涂色,0,2019-09-27 10:08
@chi雪糕_,,我感觉努努力能上热评,0,2019-09-27 09:39
@林朵与俊,,值得试试,0,2019-09-27 09:20
@大杯珍珠奶茶加芋圆,,几条评论热搜第三，太尬了吧,0,2019-09-27 08:48
@作品展,,还不如出一本书,0,2019-09-27 09:46
@孤单熊,,27评论热搜？？？,1,2019-09-27 10:52
@圈住火力少年迪兰,,32条评论的热搜第三？？？？,1,2019-09-27 11:26
@Naia塔罗牌DAYTOY,,太伤眼睛了,0,2019-09-27 11:20
@我有一只小兔几,,@薛嘟嘟biubiubiu,0,2019-09-27 10:38
@子桃蔡,,这图我也画过,0,2019-09-27 10:01
@HssSssHsss,,@-咚咚咚董_,0,2019-09-27 09:20
@爱猫的M,,看视频就不大有兴趣,0,2019-09-27 13:59
@黄家萌子,,我还以为野画集呢，这热搜上的,0,2019-09-27 11:30
@圈住火力少年迪兰,,32条评论的热搜第三？？？？,1,2019-09-27 11:26
@Naia塔罗牌DAYTOY,,太伤眼睛了,0,2019-09-27 11:20
@可爱又迷人的反派角色L_L,,我画过,0,2019-09-27 11:20
