User,Reter,Comment,Votes,Time
@雷雨转阳光,,只有严惩，才会觉醒！,17,2019-09-21 16:50
@打喷嚏198102,,球技不行，酒品酒德也不行嘛，不然为何知法犯法？！,16,2019-09-21 16:59
@雷雨转阳光,,中国足协,9,2019-09-21 16:48
@灯塔国dang支部shuji,,第一次就该惩罚了，还给了第二次机会人家不珍惜啊,6,2019-09-21 16:51
@Justyucheng,,自作孽不可活,3,2019-09-21 16:53
@你只愛同類嗎,,？？？？,1,2019-09-21 16:47
@不会算账的W会计,,真是垃圾！,0,2019-09-21 16:56
@故宫的小精灵,,必须要高质量发展青训才行,0,2019-09-21 16:48
@打喷嚏198102,,球技不行，酒品酒德也不行嘛，不然为何知法犯法？！,16,2019-09-21 16:59
@不会算账的W会计,,真是垃圾！,0,2019-09-21 16:56
@打喷嚏198102,,球技不行，酒品酒德也不行嘛，不然为何知法犯法？！,16,2019-09-21 16:59
@不会算账的W会计,,真是垃圾！,0,2019-09-21 16:56
@Justyucheng,,自作孽不可活,3,2019-09-21 16:53
