User,Reter,Comment,Votes,Time,Count
@grumpycoconut,,我居然更喜欢表姐的搭配,224,2019-10-01 10:52,1
@暗黑系艺涵她妈,,啊肖战,179,2019-10-01 11:00,1
@宁宁要闪闪亮亮,,这套男生穿好帅,170,2019-10-01 11:08,1
@AaChew,,我超喜欢肖战这一身的！表姐这个搭配也好看,140,2019-10-01 11:12,1
@岁月变迁犹如当年,,刘雯穿啥都不会出错，而且驾驭得好,60,2019-10-01 11:18,1
@wendyyoyoyo,,是同一件吗？不一样的风格，两个人都穿着好好看,66,2019-10-01 10:54,1
@小徐de微博,,我天啊  这两个都是我最爱吖！！ 伟大祖国 生日快乐 我们都要越来越好 一定越来越好 坚定信念 勇敢前行！,44,2019-10-01 11:43,1
@Le一仔,,都好看，但喜欢肖战多一些,28,2019-10-01 12:21,6
@soft1998_,,学会了战哥戴耳机！,18,2019-10-01 11:02,1
@小月赞05DAY,,都好看，肖战更帅气一些,13,2019-10-01 12:13,1
@非吾非吾非非吾,,都好看,7,2019-10-01 10:57,1
@Mikkoooooooo,,都好看,5,2019-10-01 10:55,1
@一一一一一罐可乐,,肖战这少年气要溢出屏幕了,9,2019-10-01 13:16,1
@一只叫黑炭的喵,,还是小赞最赞,3,2019-10-01 21:09,2
@半面猫Sama,,肖战时尚感很强,7,2019-10-01 15:03,1
@奶味蕎麦,,肖战这身啥时候的,2,2019-10-01 12:58,1
@渐变拿铁与坚果,,有钱哥哥怎么越帅了,7,2019-10-01 12:08,1
@孙悟空有短裙,,肖战的盛世美颜阿,6,2019-10-01 13:45,1
@努力的菠萝仔,,哈哈哈哈哈哈,2,2019-10-01 10:56,1
@玉狐狸儿,,大表姐这套真的穿成了大表姐，真有自信这样都敢出来，不明白为啥她穿成啥样什么造型都有人吹,3,2019-10-02 15:40,1
@LDYangHH,,我看了好几遍才看出来是同款哈哈哈,1,2019-10-02 18:40,2
@雷大头1227,,不好看,1,2019-10-01 20:36,1
@雀斑aaaa,,果然好看的人品味都是一样的,2,2019-10-01 18:17,1
@catherinelvwen,,我最喜欢的两个人啦,1,2019-10-01 11:28,1
@脾气坏坏也不可爱,,@赵丹妮啊,0,2019-10-02 12:09,1
@月光懒懒牛,,我好像更喜欢看肖战穿的。,3,2019-10-01 17:40,1
@原来是鹿吖,,15,0,2019-10-01 13:43,1
@小茶茶喝茶,,小赞哥哥！啊啊啊啊啊啊啊啊,2,2019-10-01 22:46,1
@雷晓1205,,战哥,3,2019-10-01 18:31,1
@LL英英YY,,咱们赞赞真的是美颜盛世,2,2019-10-01 17:31,1
@urtxb,,战战好好看啊,2,2019-10-01 15:01,1
@坚果的漂亮麻麻,,大表姐美，战战帅！,1,2019-10-01 21:30,1
@X时光与你aaa,,gg啊,1,2019-10-01 20:18,1
@有流星誒快许愿,,好巧两个都是我喜欢的,1,2019-10-01 19:42,1
@ieeoli,,都好看！不同的风格,1,2019-10-01 14:59,1
@Lily0405Hao,,表姐T台之上就是女王；T台之下就是舒服的邻家姐姐,0,2019-10-05 05:31,3
@独处的虎牙,,啊啊啊啊啊啊啊 两个都超爱的,0,2019-10-04 21:35,3
@我是你的源泉38,,朱亚文,0,2019-10-04 18:45,2
@小赞的人间冰阔落,,啊啊啊 表姐和战哥！,0,2019-10-03 09:26,4
@某家笨妞,,只有我感觉很村吗,0,2019-10-03 07:07,1
@不知道叫什么好吃,,表姐好帅！！,0,2019-10-02 22:25,1
@小赞家的阿丹,,两个我喜欢的人居然撞衫了！果然优秀的人眼光都差不多！,0,2019-10-02 21:30,1
@-懒狗er,,刘雯穿啥都好看,0,2019-10-02 20:28,1
@LDYangHH,,表姐这套好cool，很随性,0,2019-10-02 18:40,2
@小周在这-zhy,,各有千秋！,0,2019-10-02 14:15,1
@夜琉璃44,,,0,2019-10-02 13:00,1
@咔咔的夏日荷花,,我喜欢肖哥哈,0,2019-10-02 12:53,1
@青亚的夏天,,这款包是？？？,0,2019-10-02 03:03,1
@慧慧快樂-,,@·-WyAuNeG-· ……,0,2019-10-01 19:23,1
@梁静Daisy,,优衣库的裤子嘛！,0,2019-10-01 16:05,1
@shaagie,,品…品牌？,0,2019-10-01 14:52,1
@Jushene_,,有气质都好看,0,2019-10-01 14:49,1
@杨汨云大,,肖战俏丽,0,2019-10-01 13:44,1
@大能大能大能,,小赞好乖的样子,0,2019-10-01 13:41,1
@一枝花1203,,邀请刘雯演女排了，中国女排最棒,0,2019-10-01 13:01,1
@性感老野猫来了,,啥牌子？？？,0,2019-10-01 12:29,1
@企琪酱,,我穿就是编织袋！！,0,2019-10-01 11:51,1
@Alert201901,,Fingercroxx,0,2019-10-01 11:49,1
@lllswi,,好看,0,2019-10-01 11:47,1
@微光下的等待,,衣服牌子是啥啊,0,2019-10-01 11:35,1
@我是你的小幸运zh,,感觉这衣服的身高175以上才能驾驭吧,0,2019-10-01 11:13,1
@亲爱的小鹿晗,,我喜欢肖站啊,0,2019-10-01 11:11,1
@不久的清晨,,都好帅！！,0,2019-10-01 11:09,1
@幕_无情花舞56139,,帅气,0,2019-10-01 11:00,1
@战战的小婷婷,,啊，竟然看到有肖战啊！,0,2019-10-06 23:42,3
@小白生70585,,刘文也是小飞侠吗？,0,2019-10-04 22:24,3
@南呶呶Daytoy,,你发了我最爱的两个人哦,0,2019-10-02 09:11,1
@删菜的道明寺,,两个都是我喜欢的人儿！战战最近也真的辛苦，眼睛一直都是红红的,0,2019-10-02 00:34,1
@不胜凉风2711,,长得好看的人，眼光都这么相似,0,2019-10-01 22:38,2
@樊冉,,都好看,0,2019-10-01 22:12,1
@棽棽棽_shi火星人,,我战哥！！！！！,0,2019-10-01 21:56,1
@你是岁月星辰不负之人,,哇缘分唉哈哈，战战跟大表姐穿完全不一样的两种风格，都好飒,0,2019-10-01 21:54,1
@就叫茉莉花香yu,,肖战啊！,0,2019-10-01 21:54,3
@尘星燃火,,不一样风格，但是都好好看啊！,0,2019-10-01 21:45,4
@阿木木爱空大,,两个人穿着都好好看,0,2019-10-01 20:25,1
@阿瑶hyy,,同款衣服，不同风格，中国红就是好看,0,2019-10-01 19:29,1
@不胜凉风2711,,喜欢战哥，但表姐的也好可,0,2019-10-01 18:42,2
@安宁至此,,超模就是超模，这种穿搭都那么有气质。,0,2019-10-01 18:35,1
@唇痣浅笑,,都好看。不过更喜欢战战的,0,2019-10-01 17:38,1
@fwbwyrh,,都好看,0,2019-10-01 16:27,1
@波子汽水味_,,除了身高就没啥了,1,2019-10-01 16:54,1
@聪明的鱼泡泡,,都好看，都出彩,0,2019-10-06 16:29,3
@你会上树了吗-,,好看就好看 为什么非要说跟谁撞衫呢？,0,2019-10-06 14:54,3
@520加油加油再加油,,大表姐，自己出个品牌吧,0,2019-10-03 10:08,2
@我只是一只小奶猫,,果然人长得好看穿啥都好看   这件衣服穿别人什么上肯定土死了,0,2019-10-03 07:54,1
@我谢广坤是造孽之人啊,,@是暖暖呀biubiubiu 啊！我的墙头撞衫了！！！,0,2019-10-03 07:03,1
@诠灸,,,0,2019-10-02 10:14,1
@微风咊咊,,都好看,0,2019-10-02 10:09,1
@姜姜DD,,我的妈，肖战真帅,0,2019-10-02 08:20,1
@Faye小糖,,人家穿什么都好看系列,0,2019-10-02 05:42,1
@DCC2333,,肖战好看,0,2019-10-01 22:49,1
@Sakura968,,有链接嘛,0,2019-10-01 22:31,1
@Demon在綫,,带什么口罩怕见人吗？,0,2019-10-01 22:26,1
@一枚新友,,都好看都喜欢,0,2019-10-01 22:24,1
@jakie1234522,,#肖战1005生日快乐# 俊男美女,0,2019-10-01 22:15,1
@墨爱叶琰,,这不就是男神女神吗？,0,2019-10-01 22:01,1
@潜水艇钟,,各有千秋，都好看！,0,2019-10-01 21:50,1
@a张彤妍,,都很好看！,0,2019-10-01 21:47,1
@宝妈黄金眼贴指导老师,,都好看,0,2019-10-01 21:32,1
@菓你三妹,,表姐深刻诠释了 皮肤好的重要性,0,2019-10-01 21:30,1
@韩雅美业斑痘痣疤半永久,,超模的气质真的和一般女明星不一样。。太好看了,0,2019-10-01 20:00,2
@流光伏羲,,表姐这身太任性了,0,2019-10-01 19:49,1
@FIRE_FLIES,,gg太帅了,0,2019-10-01 19:31,1
@Marissa_119,,款式貌似不同，战战的是短款？,0,2019-10-01 18:31,1
@羊羊528507,,有一点不一样吧,0,2019-10-01 18:26,1
@XT0806,,表姐,0,2019-10-01 17:48,1
@铝化氧,,诶完全不一样的感觉啊，是同款吗？都好好看,0,2019-10-01 17:35,1
@_念恩_,,哇 两个都是我喜欢的,0,2019-10-01 17:29,1
@Diana丶小可爱xz,,又是几张没见过战战的图,0,2019-10-01 17:26,1
@我的沙雕不加糖先生,,小赞超会穿,0,2019-10-01 17:15,1
@沫瑾熙熙,,两个我都喜欢 哈哈。,0,2019-10-01 17:08,1
